Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
ISMEN,-2.697492580772217,2020.0000170666667,Finans,40.400001525878906,41.52000045776367
IZENR,-6.976737738815951,390.9999957333333,Kamu Hizmetleri,4.800000190734863,5.159999847412109
JANTS,-2.0069851234296725,524.0666453333333,Tüketim,22.459999084472656,22.920000076293945
KLKIM,-2.0138886773291875,432.70666239999997,Hammadde,28.219999313354492,28.799999237060547
KLSER,-1.61993325586685,541.8906965333333,Sanayi,31.579999923706055,32.099998474121094
KRDMA,0.42895402328356264,1105.3646506666666,Hammadde,37.459999084472656,37.29999923706055
KRDMD,-4.00561990977155,1105.3671082666667,Hammadde,27.31999969482422,28.459999084472656
KAREL,-1.5222495904169802,225.91670613333332,Teknoloji,8.40999984741211,8.539999961853027
KARSN,-2.069616788902353,312.2999978666667,Tüketim,10.40999984741211,10.630000114440918
KTLEV,-1.7617437314473536,351.29999360000005,Finans,58.54999923706055,59.599998474121094
KAYSE,-1.7010305680153164,448.7806634666666,Temel Tüketim,19.06999969482422,19.399999618530273
KERVT,-3.32792092181914,262.8140032,Temel Tüketim,11.90999984741211,12.319999694824219
KLGYO,-6.593410508987489,197.62500266666666,Gayrimenkul,4.25,4.550000190734863
KLRHO,-3.3923305598243885,545.8333354666667,Sanayi,26.200000762939453,27.1200008392334
KMPUR,-1.9058304354250235,283.61666560000003,Hammadde,17.5,17.84000015258789
KCAER,-3.835358872833636,791.0939306666667,Hammadde,10.279999732971191,10.6899995803833
KCHOL,0.5340474202002528,12725.750988799999,Sanayi,150.60000610351562,149.8000030517578
KONTR,-3.8922245280454475,695.4999808,Sanayi,32.099998474121094,33.400001525878906
KONYA,-1.910299003322259,959.2554154666667,Hammadde,5905.0,6020.0
KORDS,-1.4809052850235882,409.80773546666666,Tüketim,63.20000076293945,64.1500015258789
KOTON,-1.8890182097743395,459.62612053333334,Tüketim,16.6200008392334,16.940000534057617
KOZAL,-6.591637640545265,2480.869922133333,Hammadde,23.239999771118164,24.8799991607666
KOZAA,-6.835937228364259,925.5708672000001,Hammadde,71.55000305175781,76.80000305175781
KOPOL,-1.8214919635998652,233.02046719999998,Hammadde,5.389999866485596,5.489999771118164
KUYAS,-1.6329707912389808,337.33331626666666,Gayrimenkul,25.299999237060547,25.719999313354492
LIDER,1.1080375146432602,802.9999786666666,Sanayi,146.0,144.39999389648438
LILAK,-2.0707486450254735,446.43334826666666,Temel Tüketim,22.700000762939453,23.18000030517578
LMKDC,-0.824741470694244,496.56517973333337,Hammadde,28.860000610351562,29.100000381469727
LINK,-2.6016260162601625,325.70774186666665,Teknoloji,449.25,461.25
LOGO,-4.0109334720951235,333.4500010666667,Teknoloji,105.30000305175781,109.69999694824219
LYDHO,-2.759014069187265,598.6933418666666,Sanayi,86.3499984741211,88.80000305175781
MAGEN,-1.2518415114066612,1054.9200213333334,Kamu Hizmetleri,26.81999969482422,27.15999984741211
MAVI,-2.292272254385426,903.095296,Tüketim,68.19999694824219,69.80000305175781
MIATK,-4.20749006447278,547.3520298666667,Teknoloji,33.2400016784668,34.70000076293945
MGROS,-2.2927689594356258,3288.765508266667,Temel Tüketim,554.0,567.0
MPARK,-1.0197144799456153,2317.6123733333334,Sağlık,364.0,367.75
MOGAN,-0.3370756658093599,721.4592,Kamu Hizmetleri,8.869999885559082,8.899999618530273
MOPAS,-9.090905022983273,282.1000021333333,Temel Tüketim,31.0,34.099998474121094
NATEN,1.971833135040713,398.2000128,Teknoloji,72.4000015258789,71.0
NTHOL,-1.966292435827007,653.7188693333334,Tüketim,41.880001068115234,42.720001220703125
NUHCM,-1.4719411223551058,1340.6599850666666,Hammadde,267.75,271.75
OBAMS,-1.7569612357518551,1072.3072,Temel Tüketim,67.0999984741211,68.30000305175781
ODAS,-3.6496315432303783,246.40001706666666,Kamu Hizmetleri,5.28000020980835,5.480000019073486
ODINE,-3.612036051160117,530.7683498666667,Teknoloji,144.10000610351562,149.5
OTKAR,-2.19435736677116,1559.9999658666666,Tüketim,390.0,398.75
OYAKC,-1.09889833496145,4375.494109866667,Hammadde,27.0,27.299999237060547
OZKGY,-3.2667930616821295,516.1714005333333,Gayrimenkul,10.65999984741211,11.020000457763672
OZATD,2.0408163265306123,44.50000213333333,Diğer,100.0,98.0
PAPIL,-1.725427933628846,90.06250666666668,Sanayi,13.100000381469727,13.329999923706055
PARSN,-2.584613506610577,203.44715946666668,Sanayi,79.1500015258789,81.25
PASEU,1.130955611226927,761.1519658666667,Sanayi,33.97999954223633,33.599998474121094
PSGYO,-2.0548006722750554,228.8,Gayrimenkul,1.4299999475479126,1.4600000381469727
PATEK,-1.5195827064685312,376.3166549333333,Teknoloji,84.25,85.55000305175781
PGSUS,-1.3563514222627422,4000.0001365333333,Sanayi,240.0,243.3000030517578
PEKGY,-4.733730189744502,134.16666453333332,Gayrimenkul,1.6100000143051147,1.690000057220459
PENTA,-3.7710464998740636,187.44478719999998,Teknoloji,14.289999961853027,14.850000381469727
PEHOL,5.279033161254817,464.3654314666666,Gayrimenkul,13.960000038146973,13.260000228881836
PETKM,-0.6086450372020044,1379.5583317333333,Hammadde,16.329999923706055,16.43000030517578
POLHO,-2.810902301019587,288.482816,Hammadde,11.40999984741211,11.739999771118164
POLTK,-2.7131782945736433,784.3749888,Hammadde,6275.0,6450.0
QUAGR,-2.9239807257405617,292.16,Sanayi,3.319999933242798,3.4200000762939453
RALYH,-1.6059957173447537,954.804224,Sanayi,459.5,467.0
RAYSG,2.7737226277372264,1913.3546496,Finans,352.0,342.5
REEDR,0.9174303230812371,418.00000853333336,Teknoloji,13.199999809265137,13.079999923706055
RYGYO,-0.7936500427734288,1000.0000341333333,Gayrimenkul,15.0,15.119999885559082
RYSAS,-0.05246709948604658,1269.9998890666666,Sanayi,19.049999237060547,19.059999465942383
RGYAS,0.2712505026191381,1223.5967146666667,Gayrimenkul,110.9000015258789,110.5999984741211
SARKY,-2.173912164070003,369.0000042666667,Hammadde,18.450000762939453,18.860000610351562
SASA,-3.571431612481789,5126.425258666667,Tüketim,3.509999990463257,3.640000104904175
SAYAS,-1.9283767979388446,91.66999893333333,Sanayi,35.599998474121094,36.29999923706055
SDTTR,-3.290868975106629,352.2533376,Sanayi,182.1999969482422,188.39999389648438
SELEC,-1.9159844533513395,1377.5850154666666,Sağlık,66.55000305175781,67.8499984741211
SRVGY,-3.2938801105260906,325.6933376,Gayrimenkul,187.89999389648438,194.3000030517578
SNGYO,-2.006687043082556,390.66668373333334,Gayrimenkul,2.930000066757202,2.990000009536743
SMRTG,-0.4987455258165593,754.748416,Teknoloji,39.900001525878906,40.099998474121094
SUNTK,0.09935647589421066,637.5460181333333,Tüketim,40.29999923706055,40.2599983215332
SURGY,-2.4742244931687916,211.27333546666668,Gayrimenkul,37.84000015258789,38.79999923706055
SUWEN,-3.177258471813462,152.86372693333334,Tüketim,23.15999984741211,23.920000076293945
SKBNK,-2.3622025071121953,309.99999146666664,Finans,3.7200000286102295,3.809999942779541
SOKM,-2.8423831192059357,743.5900928,Tüketim,37.599998474121094,38.70000076293945
TABGD,-4.587155963302752,1358.7184298666666,Tüketim,156.0,163.5
TNZTP,-2.9906513534973715,67.57224533333333,Sağlık,51.900001525878906,53.5
TATEN,-3.183852505666023,403.732992,Kamu Hizmetleri,43.18000030517578,44.599998474121094
TAVHL,-1.731777285101959,2954.685371733333,Sanayi,244.0,248.3000030517578
