Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
DGNMO,-4.551723085600754,79.77146026666667,Tüketim,6.920000076293945,7.25
DOKTA,-1.4545440673828125,234.144,Hammadde,21.68000030517578,22.0
DURDO,-1.0584987519883708,59.2,Tüketim,17.760000228881836,17.950000762939453
DURKN,-2.172565910673101,22.326666666666668,Diğer,15.760000228881836,16.110000610351562
DYOBY,-0.3987256051592108,249.79998719999998,Hammadde,24.979999542236328,25.079999923706055
EDATA,-2.0179406237243804,58.582758399999996,Teknoloji,4.369999885559082,4.460000038146973
EDIP,-3.3766213949624597,40.30000213333333,Gayrimenkul,18.600000381469727,19.25
EGGUB,-6.512301156830434,215.3333248,Sanayi,64.5999984741211,69.0999984741211
EGPRO,-1.8087859117738696,414.1999786666667,Sanayi,22.799999237060547,23.219999313354492
EGSER,-2.2662868089077777,82.8,Hammadde,3.450000047683716,3.5299999713897705
EPLAS,-1.360542893691104,36.8522368,Sanayi,5.800000190734863,5.880000114440918
EGEGY,1.39257320430651,101.93332906666666,Diğer,15.289999961853027,15.079999923706055
EKOS,-2.0202044085673756,199.17334186666668,Sanayi,21.34000015258789,21.780000686645508
EKSUN,-2.878788787361908,128.19999573333334,Temel Tüketim,6.409999847412109,6.599999904632568
ELITE,-0.495051374716754,173.664,Temel Tüketim,40.20000076293945,40.400001525878906
EMKEL,-2.121214433149858,80.74999466666667,Sanayi,16.149999618530273,16.5
ENDAE,3.378814116238582,231.86013866666664,Diğer,15.90999984741211,15.390000343322754
ENSRI,-4.002219691577799,67.23786666666668,Tüketim,17.270000457763672,17.989999771118164
ERBOS,-2.0149683716131,113.46666666666667,Sanayi,170.1999969482422,173.6999969482422
ERCB,-3.666670057508681,224.75671893333333,Hammadde,86.69999694824219,90.0
KIMMR,-2.5998205640155407,83.92,Tüketim,10.489999771118164,10.770000457763672
ESCOM,1.379308984055717,78.38761813333333,Teknoloji,47.040000915527344,46.400001525878906
